Timestamp (microseconds)      Peak Amplitude
1699174868416050                2186
1699174868429190                2561
1699174868431330                2228
1699174868449130                2936
1699174868450570                2436
1699174868467460                2395
1699174868479340                2353
1699174868483120                2728
1699174868499020                2645
1699174868507910                2478
1699174868513970                2436
1699174868526050                2978
1699174868532710                2061
1699174868545930                2520
1699174868555710                2645
1699174868568090                2853
1699174868571690                2978
1699174868582160                2436
1699174868590000                2395
1699174868604370                3186
1699174868612160                2853
1699174868627010                2478
1699174868629060                2811
1699174868643800                3436
1699174868655820                2395
1699174868658700                2145
1699174868670220                2520
1699174868684620                1770
1699174868693750                2395
1699174868700890                2728
1699174868712340                2645
1699174868723610                2978
1699174868734480                1936
1699174868745760                2145
1699174868755410                2353
1699174868761640                2186
1699174868776930                2561
1699174868780340                3020
1699174868793400                2853
1699174868798960                2978
1699174868813420                2561
1699174868826150                2645
1699174868828070                2645
1699174868843380                2978
1699174868849990                2603
1699174868861670                1853
1699174868867850                3061
1699174868877550                2228
1699174868894180                3353
1699174868902330                2103
1699174868907070                2270
1699174868924140                2770
1699174868933200                1978
1699174868944460                3145
1699174868946760                2895
1699174868956480                2228
1699174868967390                2270
1699174868982140                2895
1699174868988140                2103
1699174869000180                2686
1699174869009120                2686
1699174869024270                3186
1699174869027480                2936
1699174869038780                1936
1699174869050450                2061
1699174869055080                2145
1699174869073350                2270
1699174869075510                2728
1699174869091890                2478
1699174869096490                3103
1699174869109320                2728
1699174869119450                2686
1699174869133050                2478
1699174869134750                2936
1699174869152710                2395
1699174869154530                2728
1699174869173530                2728
1699174869176350                2978
1699174869186900                2728
1699174869199560                2103
1699174869211490                2770
1699174869222980                2103
1699174869231720                2770
1699174869239550                2728
1699174869245880                2436
1699174869255670                2311
1699174869268060                2978
1699174869273940                2186
1699174869288040                2561
1699174869295900                3145
1699174869305350                2145
1699174869321290                3228
1699174869323190                2811
1699174869337460                2603
1699174869346720                2603
1699174869358610                3436
1699174869368490                2561
1699174869374070                2770
1699174869386880                2686
1699174869402200                2686
1699174869402560                2061
1699174869421480                2728
1699174869431040                2436
1699174869434840                2895
1699174869443930                2478
1699174869458000                2603
1699174869462150                2728
1699174869476030                2686
1699174869489320                2645
1699174869500820                2686
1699174869506740                2936
1699174869519790                2770
1699174869530190                2145
1699174869534150                2728
1699174869548640                2520
1699174869551490                3311
1699174869566510                3061
1699174869576930                2478
1699174869588070                2353
1699174869593320                2561
1699174869609260                2686
1699174869615620                2186
1699174869625980                2520
1699174869636530                2395
1699174869643440                2145
1699174869655810                2603
1699174869667830                2811
1699174869676290                2603
1699174869681480                2228
1699174869698990                3020
1699174869707690                1811
1699174869715870                2728
1699174869726770                2520
1699174869739360                2645
1699174869745360                2353
1699174869749620                2228
1699174869764740                3020
1699174869778420                2311
1699174869783920                2520
1699174869797810                2686
1699174869801340                2853
1699174869813780                2811
1699174869822750                2186
1699174869836510                2478
1699174869844050                2228
1699174869850210                3186
1699174869865710                2395
1699174869869580                3353
1699174869885810                2395
1699174869889540                2770
1699174869902860                2603
1699174869916040                2811
1699174869919430                2311
1699174869932530                3061
1699174869942040                2728
1699174869956900                2270
1699174869958510                3061
1699174869977010                2311
1699174869978450                3020
1699174869993600                2686
1699174870006450                1978
1699174870010220                2645
1699174870025900                2520
1699174870032650               26809
1699174870046660                3936
1699174870055660                8186
1699174870059940                8311
1699174870070090                2853
1699174870078090                2811
1699174870087150                2853
1699174870098040                2520
1699174870111860                2520
1699174870118550                2978
1699174870133390                3020
1699174870139670                2853
1699174870153130                2020
1699174870164950                2478
1699174870170220                2770
1699174870181090                2311
1699174870191160                2603
1699174870198520                2728
1699174870207790                2186
1699174870224810                3270
1699174870226490                2520
1699174870235860                3061
1699174870253910                1978
1699174870261610                2728
1699174870271960                2936
1699174870276160                2686
1699174870294010                2478
1699174870301840                3186
1699174870311430                2603
1699174870320960                2478
1699174870326000                2145
1699174870338020                3186
1699174870348210                3311
1699174870354920                2770
1699174870368320                2353
1699174870384290                2395
1699174870385890                2811
1699174870401250                2561
1699174870411020                2686
1699174870415590                2561
1699174870433530                2311
1699174870439790                2728
1699174870444710                2936
1699174870461700                2603
1699174870468020                2228
1699174870478350                2853
1699174870492590                4644
1699174870503110                4353
1699174870509170                8186
1699174870521810                6561
1699174870527070                6686
1699174870535440                4644
1699174870549400                7519
1699174870554120                7561
1699174870570880                6186
1699174870577350                9602
1699174870583360                5603
1699174870599100                5519
1699174870608370                7811
1699174870619370                9477
1699174870624920               17435
1699174870632870               11560
1699174870651170               11227
1699174870653510               13935
1699174870671850                8769
1699174870673110                9394
1699174870686550               11644
1699174870695970                7227
1699174870704370                7269
1699174870715080                6353
1699174870731400               11102
